"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"23","IncrInterest","~~","IncrInterest","0.301","0.041","0.000","[0.221, 0.380]","0.301***","0.304","0.047","0.000","[0.213, 0.395]","0.304***","1.000","CPY","Variances.IncrInterest.CPY",".p23."
"24","MultPerspectives","~~","MultPerspectives","0.204","0.028","0.000","[0.148, 0.260]","0.204***","0.290","0.045","0.000","[0.202, 0.379]","0.290***","1.000","CPY","Variances.MultPerspectives.CPY",".p24."
"25","InclusvClassrm","~~","InclusvClassrm","0.227","0.023","0.000","[0.183, 0.271]","0.227***","0.540","0.054","0.000","[0.435, 0.645]","0.540***","1.000","CPY","Variances.InclusvClassrm.CPY",".p25."
"26","DEIintegration","~~","DEIintegration","0.370","0.034","0.000","[0.303, 0.438]","0.370***","0.679","0.054","0.000","[0.574, 0.785]","0.679***","1.000","CPY","Variances.DEIintegration.CPY",".p26."
"27","EquitableEval","~~","EquitableEval","0.197","0.020","0.000","[0.157, 0.237]","0.197***","0.488","0.053","0.000","[0.385, 0.591]","0.488***","1.000","CPY","Variances.EquitableEval.CPY",".p27."
"28","TradPed","~~","TradPed","0.372","0.051","0.000","[0.271, 0.472]","0.372***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.TradPed.CPY",""
"29","Valued","~~","Valued","0.121","0.027","0.000","[0.068, 0.174]","0.121***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.Valued.CPY",""
"30","SCRPed","~~","SCRPed","0.499","0.069","0.000","[0.364, 0.634]","0.499***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.SCRPed.CPY",""
"31","ClearResponsibilities","~1","","4.514","0.052","0.000","[4.413, 4.615]","4.514***","5.924","0.280","0.000","[5.376, 6.472]","5.924***","1.000","CPY","Means.ClearResponsibilities.CPY",".p31."
"32","EffectiveAnswers","~1","","4.429","0.053","0.000","[4.324, 4.533]","4.429***","5.656","0.269","0.000","[5.129, 6.184]","5.656***","1.000","CPY","Means.EffectiveAnswers.CPY",".p32."
